,Protein1,Protein2
0,ENSG00000000005,ENSG00000099968
1,ENSG00000000005,ENSG00000105383
2,ENSG00000000005,ENSG00000114455
3,ENSG00000000005,ENSG00000139637
4,ENSG00000000005,ENSG00000150337
5,ENSG00000000005,ENSG00000157613
6,ENSG00000000005,ENSG00000163472
7,ENSG00000000005,ENSG00000167741
8,ENSG00000000005,ENSG00000169379
9,ENSG00000000005,ENSG00000184988
10,ENSG00000000005,ENSG00000242019
11,ENSG00000000419,ENSG00000151790
12,ENSG00000000457,ENSG00000034713
13,ENSG00000000457,ENSG00000100348
14,ENSG00000000457,ENSG00000139112
15,ENSG00000000457,ENSG00000198420
16,ENSG00000000460,ENSG00000149380
17,ENSG00000001167,ENSG00000062725
18,ENSG00000001167,ENSG00000101266
19,ENSG00000001167,ENSG00000120837
20,ENSG00000001167,ENSG00000135482
21,ENSG00000001167,ENSG00000146963
22,ENSG00000001167,ENSG00000161202
23,ENSG00000001167,ENSG00000165417
24,ENSG00000001167,ENSG00000172530
25,ENSG00000001167,ENSG00000198420
26,ENSG00000002016,ENSG00000002016
27,ENSG00000002016,ENSG00000005102
28,ENSG00000002016,ENSG00000173846
29,ENSG00000002016,ENSG00000196092
30,ENSG00000002016,ENSG00000272886
31,ENSG00000002016,ENSG00000278023
32,ENSG00000002330,ENSG00000077522
33,ENSG00000002330,ENSG00000175793
34,ENSG00000002330,ENSG00000182944
35,ENSG00000002549,ENSG00000084764
36,ENSG00000002549,ENSG00000094916
37,ENSG00000002549,ENSG00000117461
38,ENSG00000002549,ENSG00000122565
39,ENSG00000002549,ENSG00000150773
40,ENSG00000002549,ENSG00000158773
41,ENSG00000002549,ENSG00000159840
42,ENSG00000002549,ENSG00000172530
43,ENSG00000002726,ENSG00000135482
44,ENSG00000002726,ENSG00000151923
45,ENSG00000002726,ENSG00000156795
46,ENSG00000002726,ENSG00000160973
47,ENSG00000002726,ENSG00000183283
48,ENSG00000002726,ENSG00000183640
49,ENSG00000002746,ENSG00000148704
50,ENSG00000002822,ENSG00000002822
51,ENSG00000002822,ENSG00000012779
52,ENSG00000002822,ENSG00000048540
53,ENSG00000002822,ENSG00000068394
54,ENSG00000002822,ENSG00000078114
55,ENSG00000002822,ENSG00000083535
56,ENSG00000002822,ENSG00000105617
57,ENSG00000002822,ENSG00000114019
58,ENSG00000002822,ENSG00000119862
59,ENSG00000002822,ENSG00000129084
60,ENSG00000002822,ENSG00000131375
61,ENSG00000002822,ENSG00000135655
62,ENSG00000002822,ENSG00000137699
63,ENSG00000002822,ENSG00000146112
64,ENSG00000002822,ENSG00000147140
65,ENSG00000002822,ENSG00000152240
66,ENSG00000002822,ENSG00000152404
67,ENSG00000002822,ENSG00000156795
68,ENSG00000002822,ENSG00000157514
69,ENSG00000002822,ENSG00000163071
70,ENSG00000002822,ENSG00000164109
71,ENSG00000002822,ENSG00000166170
72,ENSG00000002822,ENSG00000166407
73,ENSG00000002822,ENSG00000171847
74,ENSG00000002822,ENSG00000176155
75,ENSG00000002822,ENSG00000185264
76,ENSG00000002822,ENSG00000185519
77,ENSG00000002822,ENSG00000198420
78,ENSG00000002822,ENSG00000204536
79,ENSG00000002834,ENSG00000054965
80,ENSG00000002834,ENSG00000062822
81,ENSG00000002834,ENSG00000064218
82,ENSG00000002834,ENSG00000064835
83,ENSG00000002834,ENSG00000064999
84,ENSG00000002834,ENSG00000085872
85,ENSG00000002834,ENSG00000091073
86,ENSG00000002834,ENSG00000100167
87,ENSG00000002834,ENSG00000100567
88,ENSG00000002834,ENSG00000103043
89,ENSG00000002834,ENSG00000104427
90,ENSG00000002834,ENSG00000104973
91,ENSG00000002834,ENSG00000105991
92,ENSG00000002834,ENSG00000107816
93,ENSG00000002834,ENSG00000108255
94,ENSG00000002834,ENSG00000114354
95,ENSG00000002834,ENSG00000115507
96,ENSG00000002834,ENSG00000124827
97,ENSG00000002834,ENSG00000127054
98,ENSG00000002834,ENSG00000131721
99,ENSG00000002834,ENSG00000135482
100,ENSG00000002834,ENSG00000137075
101,ENSG00000002834,ENSG00000137098
102,ENSG00000002834,ENSG00000140320
103,ENSG00000002834,ENSG00000143013
104,ENSG00000002834,ENSG00000152102
105,ENSG00000002834,ENSG00000156735
106,ENSG00000002834,ENSG00000157110
107,ENSG00000002834,ENSG00000160973
108,ENSG00000002834,ENSG00000161992
109,ENSG00000002834,ENSG00000162881
110,ENSG00000002834,ENSG00000163060
111,ENSG00000002834,ENSG00000167110
112,ENSG00000002834,ENSG00000167889
113,ENSG00000002834,ENSG00000167987
114,ENSG00000002834,ENSG00000174279
115,ENSG00000002834,ENSG00000175294
116,ENSG00000002834,ENSG00000179933
117,ENSG00000002834,ENSG00000183283
118,ENSG00000002834,ENSG00000183386
119,ENSG00000002834,ENSG00000185359
120,ENSG00000002834,ENSG00000186925
121,ENSG00000002834,ENSG00000186930
122,ENSG00000002834,ENSG00000186967
123,ENSG00000002834,ENSG00000187766
124,ENSG00000002834,ENSG00000188021
125,ENSG00000002834,ENSG00000188493
126,ENSG00000002834,ENSG00000188747
127,ENSG00000002834,ENSG00000197191
128,ENSG00000002834,ENSG00000198844
129,ENSG00000002834,ENSG00000204713
130,ENSG00000002834,ENSG00000206538
131,ENSG00000002834,ENSG00000212899
132,ENSG00000002834,ENSG00000212933
133,ENSG00000002834,ENSG00000213588
134,ENSG00000002834,ENSG00000229665
135,ENSG00000002834,ENSG00000234278
136,ENSG00000002834,ENSG00000244025
137,ENSG00000002834,ENSG00000244537
138,ENSG00000002834,ENSG00000269190
139,ENSG00000002919,ENSG00000004838
140,ENSG00000002919,ENSG00000115255
141,ENSG00000002919,ENSG00000115593
142,ENSG00000002919,ENSG00000143499
143,ENSG00000002919,ENSG00000168070
144,ENSG00000002919,ENSG00000170540
145,ENSG00000002919,ENSG00000174851
146,ENSG00000002919,ENSG00000177519
147,ENSG00000002933,ENSG00000106565
148,ENSG00000002933,ENSG00000113845
149,ENSG00000002933,ENSG00000135052
150,ENSG00000002933,ENSG00000141699
151,ENSG00000002933,ENSG00000145284
152,ENSG00000003056,ENSG00000081721
153,ENSG00000003056,ENSG00000126777
154,ENSG00000003056,ENSG00000196329
155,ENSG00000003147,ENSG00000024862
156,ENSG00000003147,ENSG00000071655
157,ENSG00000003147,ENSG00000104388
158,ENSG00000003147,ENSG00000129472
159,ENSG00000003147,ENSG00000168395
160,ENSG00000003400,ENSG00000101966
161,ENSG00000003402,ENSG00000056558
162,ENSG00000003756,ENSG00000005102
163,ENSG00000003756,ENSG00000103150
164,ENSG00000003987,ENSG00000104643
165,ENSG00000003987,ENSG00000134480
166,ENSG00000004059,ENSG00000132744
167,ENSG00000004059,ENSG00000178498
168,ENSG00000004142,ENSG00000106153
169,ENSG00000004142,ENSG00000132938
170,ENSG00000004142,ENSG00000177674
171,ENSG00000004478,ENSG00000174842
172,ENSG00000004487,ENSG00000100109
173,ENSG00000004487,ENSG00000103852
174,ENSG00000004487,ENSG00000104892
175,ENSG00000004487,ENSG00000110330
176,ENSG00000004487,ENSG00000116044
177,ENSG00000004487,ENSG00000117625
178,ENSG00000004487,ENSG00000118194
179,ENSG00000004487,ENSG00000120860
180,ENSG00000004487,ENSG00000136997
181,ENSG00000004487,ENSG00000139722
182,ENSG00000004487,ENSG00000140481
183,ENSG00000004487,ENSG00000140859
184,ENSG00000004487,ENSG00000141425
185,ENSG00000004487,ENSG00000143514
186,ENSG00000004487,ENSG00000148572
187,ENSG00000004487,ENSG00000151575
188,ENSG00000004487,ENSG00000153179
189,ENSG00000004487,ENSG00000159289
190,ENSG00000004487,ENSG00000163126
191,ENSG00000004487,ENSG00000163611
192,ENSG00000004487,ENSG00000164304
193,ENSG00000004487,ENSG00000165669
194,ENSG00000004487,ENSG00000165916
195,ENSG00000004487,ENSG00000166037
196,ENSG00000004487,ENSG00000166860
